phone,axes,first_with,with_without,first_without
l,Small - Big,+++7.255e-41,0.4413,+++8.403e-42
l,Smooth - Rough_or_not_smooth,+++5.287e-30,0.1812,+++5.646e-32
l,Ugly - Beautiful,+++1.633e-17,0.07124,+++2.156e-16
ʎ,Angular - Round,+++5.332e-57,+++2.421e-228,+++2.906e-09
ʎ,Bad - Good,+++0.0001933,+++1.668e-23,0.4377
ʎ,Cold - Hot,+++2.019e-05,+++2.006e-63,0.04866
ʎ,Complex - Simple,++0.004029,+++3.24e-45,++0.003013
ʎ,Cowardly - Brave,+++5.604e-11,+++1.126e-54,0.1497
ʎ,Dangerous - Secure,++0.002456,+++8.979e-31,+++7.228e-13
ʎ,Dark - Luminous,0.4432,+++7.998e-32,+++7.24e-06
ʎ,Difficult - Easy,0.1956,0.162,0.3103
ʎ,Evil - Benign,0.01249,+++9.317e-07,0.3131
ʎ,Faded - Bright,+++2.97e-14,+++1.403e-81,0.3126
ʎ,Feeble - Strong,+++1.514e-13,+++1.059e-10,+++1.308e-22
ʎ,Masculine - Feminine,+++8.618e-26,+++4.153e-61,+++1.675e-07
ʎ,Passive - Active,+++1.31e-08,+++9.983e-120,0.1012
ʎ,Quiet - Loud,0.1725,0.2397,0.2136
ʎ,Rough - Tender,+++5.596e-42,+++2.47e-169,+++4.549e-05
ʎ,Sad - Joyful,0.07478,0.1385,0.117
ʎ,Short - Long,+++3.614e-58,+++1.443e-119,+++1.805e-21
ʎ,Slow - Quick,+++1.853e-25,+++1.057e-111,+++1.798e-05
ʎ,Small - Big,+++3.419e-06,+++1.751e-11,++0.005545
ʎ,Smooth - Rough_or_not_smooth,+++0.0003627,+++2.032e-58,0.01359
ʎ,Ugly - Beautiful,0.415,+++9.257e-10,++0.009752
m,Angular - Round,+++6.857e-68,+++4.319e-87,+++4.788e-16
m,Bad - Good,0.0807,+++8.964e-05,0.3357
m,Cold - Hot,+++7.699e-11,+++6.812e-36,+++2.094e-40
m,Complex - Simple,+++2.366e-08,+++7.709e-06,+++4.08e-16
m,Cowardly - Brave,0.2248,++0.001293,0.2314
m,Dangerous - Secure,+++1.868e-225,+++1.845e-81,+++4.045e-122
m,Dark - Luminous,+++1.271e-74,+++6.157e-72,+++4.468e-25
m,Difficult - Easy,+++2.099e-24,+++1.402e-10,+++4.735e-46
m,Evil - Benign,0.204,+++3.175e-14,++0.002123
m,Faded - Bright,+++8.896e-155,+++1.176e-69,+++4.849e-77
m,Feeble - Strong,+++8.589e-05,+++4.348e-05,0.0221
m,Masculine - Feminine,+++1.163e-14,+++4.951e-05,+++7.569e-10
m,Passive - Active,+++4.691e-206,+++1.813e-130,+++8.48e-93
m,Quiet - Loud,+++2.834e-05,0.1031,+++0.0001555
m,Rough - Tender,+++7.261e-21,0.2432,+++8.956e-25
m,Sad - Joyful,0.3465,+++1.042e-27,+++7.23e-08
m,Short - Long,+++2.093e-231,+++0.0,+++3.253e-27
m,Slow - Quick,+++2.631e-275,+++1.231e-151,+++6.708e-134
m,Small - Big,+++5.703e-72,+++9.355e-80,+++8.683e-21
m,Smooth - Rough_or_not_smooth,+++1.243e-29,+++0.0001941,+++1.02e-23
m,Ugly - Beautiful,+++4.344e-06,+++4.183e-25,0.2999
ɱ,Angular - Round,1.0,1.0,1.0
ɱ,Bad - Good,1.0,1.0,1.0
ɱ,Cold - Hot,1.0,1.0,1.0
ɱ,Complex - Simple,1.0,1.0,1.0
ɱ,Cowardly - Brave,1.0,1.0,1.0
ɱ,Dangerous - Secure,1.0,1.0,1.0
ɱ,Dark - Luminous,1.0,1.0,1.0
ɱ,Difficult - Easy,1.0,1.0,1.0
ɱ,Evil - Benign,1.0,1.0,1.0
ɱ,Faded - Bright,1.0,1.0,1.0
ɱ,Feeble - Strong,1.0,1.0,1.0
ɱ,Masculine - Feminine,1.0,1.0,1.0
ɱ,Passive - Active,1.0,1.0,1.0
ɱ,Quiet - Loud,1.0,1.0,1.0
ɱ,Rough - Tender,1.0,1.0,1.0
ɱ,Sad - Joyful,1.0,1.0,1.0
ɱ,Short - Long,1.0,1.0,1.0
ɱ,Slow - Quick,1.0,1.0,1.0
ɱ,Small - Big,1.0,1.0,1.0
ɱ,Smooth - Rough_or_not_smooth,1.0,1.0,1.0
ɱ,Ugly - Beautiful,1.0,1.0,1.0
n,Angular - Round,0.1025,+++4.361e-159,+++1.376e-05
n,Bad - Good,+++3.729e-21,+++4.417e-47,+++4.139e-35
n,Cold - Hot,0.1208,0.3165,0.1143
n,Complex - Simple,0.02389,+++0.0,+++4.694e-35
n,Cowardly - Brave,+++4.06e-23,+++3.226e-185,+++7.69e-53
n,Dangerous - Secure,+++2.436e-21,+++4.293e-55,+++1.148e-32
n,Dark - Luminous,0.4432,+++1.362e-16,0.05408
n,Difficult - Easy,+++9.365e-82,+++1.295e-256,+++1.318e-33
n,Evil - Benign,+++2.985e-18,+++9.807e-71,+++2.356e-35
n,Faded - Bright,+++7.813e-72,+++8.903e-59,+++2.736e-43
n,Feeble - Strong,0.3484,+++5.3e-19,0.01069
n,Masculine - Feminine,++0.002223,+++0.0,+++2.382e-27
n,Passive - Active,+++8.773e-48,+++5.955e-216,+++2.835e-16
n,Quiet - Loud,++0.003659,+++4.849e-50,+++3.476e-09
n,Rough - Tender,+++2.149e-15,+++4.172e-218,+++6.593e-45
n,Sad - Joyful,0.2407,+++8.456e-30,+++0.00077
n,Short - Long,+++1.031e-18,0.01041,+++3.889e-15
n,Slow - Quick,+++3.822e-18,+++0.0,0.2136
n,Small - Big,+++8.602e-53,+++1.435e-99,+++1.45e-26
n,Smooth - Rough_or_not_smooth,+++4.429e-20,+++4.2e-161,+++0.0002731
n,Ugly - Beautiful,0.3086,+++4.06e-51,++0.003547
ɲ,Angular - Round,1.0,+++2.887e-09,1.0
ɲ,Bad - Good,1.0,+++1.391e-22,1.0
ɲ,Cold - Hot,1.0,+++1.683e-26,1.0
ɲ,Complex - Simple,1.0,+++1.887e-43,1.0
ɲ,Cowardly - Brave,1.0,+++1.552e-53,1.0
ɲ,Dangerous - Secure,1.0,+++7.83e-30,1.0
ɲ,Dark - Luminous,1.0,+++0.0009243,1.0
ɲ,Difficult - Easy,1.0,0.1343,1.0
ɲ,Evil - Benign,1.0,+++4.038e-08,1.0
ɲ,Faded - Bright,1.0,+++5.061e-06,1.0
ɲ,Feeble - Strong,1.0,+++8.077e-15,1.0
ɲ,Masculine - Feminine,1.0,+++9.43e-26,1.0
ɲ,Passive - Active,1.0,+++8.107e-17,1.0
ɲ,Quiet - Loud,1.0,+++3.074e-15,1.0
ɲ,Rough - Tender,1.0,+++6.06e-31,1.0
ɲ,Sad - Joyful,1.0,+++6.212e-13,1.0
ɲ,Short - Long,1.0,+++1.168e-05,1.0
ɲ,Slow - Quick,1.0,+++7.488e-108,1.0
ɲ,Small - Big,1.0,+++5.245e-13,1.0
ɲ,Smooth - Rough_or_not_smooth,1.0,+++6.976e-13,1.0
ɲ,Ugly - Beautiful,1.0,+++8.918e-22,1.0
ŋ,Angular - Round,1.0,+++1.837e-07,1.0
ŋ,Bad - Good,1.0,+++7.593e-85,1.0
ŋ,Cold - Hot,1.0,+++6.342e-11,1.0
ŋ,Complex - Simple,1.0,+++5.68e-23,1.0
ŋ,Cowardly - Brave,1.0,+++2.277e-50,1.0
ŋ,Dangerous - Secure,1.0,+++2.909e-33,1.0
ŋ,Dark - Luminous,1.0,+++6.199e-38,1.0
ŋ,Difficult - Easy,1.0,+++1.012e-67,1.0
ŋ,Evil - Benign,1.0,+++1.591e-52,1.0
ŋ,Faded - Bright,1.0,+++6.117e-56,1.0
ŋ,Feeble - Strong,1.0,+++7.667e-20,1.0
ŋ,Masculine - Feminine,1.0,+++8.871e-37,1.0
ŋ,Passive - Active,1.0,+++0.000739,1.0
ŋ,Quiet - Loud,1.0,+++5.016e-42,1.0
ŋ,Rough - Tender,1.0,+++4.282e-30,1.0
ŋ,Sad - Joyful,1.0,++0.001888,1.0
ŋ,Short - Long,1.0,+++9.786e-07,1.0
ŋ,Slow - Quick,1.0,+++3.611e-18,1.0
ŋ,Small - Big,1.0,+++9.036e-21,1.0
ŋ,Smooth - Rough_or_not_smooth,1.0,0.4436,1.0
ŋ,Ugly - Beautiful,1.0,+++2.816e-12,1.0
p,Angular - Round,0.1528,+++0.0001185,+++1.057e-05
p,Bad - Good,+++8.195e-39,+++4.087e-18,+++8.948e-18
p,Cold - Hot,+++6.086e-60,+++9.067e-36,+++8.274e-21
p,Complex - Simple,0.3266,+++5.309e-07,+++0.0001716
p,Cowardly - Brave,0.4584,+++3.212e-06,+++0.00016
p,Dangerous - Secure,+++3.311e-57,+++4.123e-139,0.09934
p,Dark - Luminous,+++5.563e-18,+++4.192e-12,+++1.693e-58
p,Difficult - Easy,+++5.016e-61,+++1.215e-39,+++1.28e-19
p,Evil - Benign,+++3.34e-15,+++2.019e-14,++0.001028
p,Faded - Bright,+++4.235e-244,+++2.462e-137,+++1.645e-81
p,Feeble - Strong,+++7.4e-37,+++2.95e-08,+++1.559e-28
p,Masculine - Feminine,+++0.000608,0.1599,+++0.0009052
p,Passive - Active,+++2.492e-16,+++3.715e-89,+++4.006e-11
p,Quiet - Loud,+++1.76e-08,0.0159,+++1.074e-17
p,Rough - Tender,+++1.082e-05,++0.004932,++0.001341
p,Sad - Joyful,+++2.066e-64,0.1072,+++1.042e-100
p,Short - Long,+++4.021e-28,+++6.425e-48,0.08977
p,Slow - Quick,+++3.49e-34,+++9.045e-100,++0.006302
p,Small - Big,+++1.286e-41,+++2.178e-69,0.0404
p,Smooth - Rough_or_not_smooth,+++1.875e-79,+++4.231e-82,+++2.23e-13
p,Ugly - Beautiful,+++6.885e-29,0.1296,+++5.516e-47
r,Angular - Round,+++2.042e-05,0.4692,+++2.219e-11
r,Bad - Good,+++3.239e-250,+++2.958e-293,0.09298
r,Cold - Hot,+++6.687e-77,+++5.536e-23,+++4.554e-69
r,Complex - Simple,+++4.99e-201,+++3.98e-123,+++5.332e-69
r,Cowardly - Brave,+++4.826e-117,+++1.567e-139,0.02106
r,Dangerous - Secure,+++8.998e-14,+++3.23e-12,+++1.824e-103
